0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:22:22 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:22:22 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:24:27 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6501
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:24:27 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:24:27 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:24:37 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6501
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:24:37 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:24:37 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:26:50 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:26:50 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:26:50 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:27:02 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:27:02 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:27:02 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:28:33 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:28:33 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:28:33 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:30:56 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6492
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:30:56 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:30:56 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:30:56 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:31:09 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6492
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:31:09 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:31:09 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:37:27 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:37:27 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:37:27 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
